,city,statecode,date,sold,value,region
201,"Albany, NY",NY,2009-12-01,417.0,205090.670802936,Northeast
202,"Albany, NY",NY,2010-01-01,269.0,205056.0651967868,Northeast
203,"Albany, NY",NY,2010-02-01,230.0,204898.3429272219,Northeast
204,"Albany, NY",NY,2010-03-01,348.0,204889.83868813547,Northeast
205,"Albany, NY",NY,2010-04-01,401.0,205225.04591838637,Northeast
206,"Albany, NY",NY,2010-05-01,442.0,206005.8264266076,Northeast
207,"Albany, NY",NY,2010-06-01,691.0,206784.08683480488,Northeast
208,"Albany, NY",NY,2010-07-01,361.0,207071.80285561967,Northeast
209,"Albany, NY",NY,2010-08-01,375.0,206717.65338235057,Northeast
210,"Albany, NY",NY,2010-09-01,311.0,206126.72745265267,Northeast
211,"Albany, NY",NY,2010-10-01,336.0,205354.15915649725,Northeast
212,"Albany, NY",NY,2010-11-01,341.0,204359.174694752,Northeast
213,"Albany, NY",NY,2010-12-01,321.0,203245.81418585416,Northeast
214,"Albany, NY",NY,2011-01-01,267.0,202334.33921482475,Northeast
215,"Albany, NY",NY,2011-02-01,225.0,201870.6527811945,Northeast
216,"Albany, NY",NY,2011-03-01,313.0,201628.6930518502,Northeast
217,"Albany, NY",NY,2011-04-01,270.0,201255.60149488816,Northeast
218,"Albany, NY",NY,2011-05-01,374.0,200665.25171600748,Northeast
219,"Albany, NY",NY,2011-06-01,417.0,199673.80767790228,Northeast
220,"Albany, NY",NY,2011-07-01,404.0,198309.7193962012,Northeast
221,"Albany, NY",NY,2011-08-01,476.0,197215.6291195599,Northeast
222,"Albany, NY",NY,2011-09-01,402.0,196469.98163393777,Northeast
223,"Albany, NY",NY,2011-10-01,353.0,195993.57337079625,Northeast
224,"Albany, NY",NY,2011-11-01,353.0,195172.00916602163,Northeast
225,"Albany, NY",NY,2011-12-01,369.0,194655.53180057823,Northeast
226,"Albany, NY",NY,2012-01-01,297.0,194461.4796902636,Northeast
227,"Albany, NY",NY,2012-02-01,259.0,194759.9487500373,Northeast
228,"Albany, NY",NY,2012-03-01,313.0,195243.4579119385,Northeast
229,"Albany, NY",NY,2012-04-01,366.0,195808.1582184104,Northeast
230,"Albany, NY",NY,2012-05-01,458.0,196312.5695557389,Northeast
231,"Albany, NY",NY,2012-06-01,461.0,196383.76477637351,Northeast
232,"Albany, NY",NY,2012-07-01,475.0,196021.9120928238,Northeast
233,"Albany, NY",NY,2012-08-01,559.0,195140.59641928048,Northeast
234,"Albany, NY",NY,2012-09-01,430.0,194586.8761230555,Northeast
235,"Albany, NY",NY,2012-10-01,443.0,194286.7318079588,Northeast
236,"Albany, NY",NY,2012-11-01,442.0,194583.7340743301,Northeast
237,"Albany, NY",NY,2012-12-01,363.0,194935.58806048037,Northeast
238,"Albany, NY",NY,2013-01-01,356.0,195614.17427987247,Northeast
239,"Albany, NY",NY,2013-02-01,274.0,196351.68452910715,Northeast
240,"Albany, NY",NY,2013-03-01,360.0,196979.5981907925,Northeast
241,"Albany, NY",NY,2013-04-01,388.0,197652.97410442855,Northeast
242,"Albany, NY",NY,2013-05-01,482.0,198337.8358996624,Northeast
243,"Albany, NY",NY,2013-06-01,521.0,198913.3503261441,Northeast
244,"Albany, NY",NY,2013-07-01,600.0,199114.67660557505,Northeast
245,"Albany, NY",NY,2013-08-01,590.0,198841.61352238085,Northeast
246,"Albany, NY",NY,2013-09-01,474.0,198470.1869527285,Northeast
247,"Albany, NY",NY,2013-10-01,523.0,198132.4978100598,Northeast
248,"Albany, NY",NY,2013-11-01,426.0,197998.1329341537,Northeast
249,"Albany, NY",NY,2013-12-01,471.0,198037.20097945596,Northeast
250,"Albany, NY",NY,2014-01-01,341.0,198358.7417820784,Northeast
251,"Albany, NY",NY,2014-02-01,252.0,198869.4906457713,Northeast
252,"Albany, NY",NY,2014-03-01,327.0,199461.0401652182,Northeast
253,"Albany, NY",NY,2014-04-01,366.0,199996.568830888,Northeast
254,"Albany, NY",NY,2014-05-01,426.0,200700.7410469801,Northeast
255,"Albany, NY",NY,2014-06-01,530.0,200989.19585792185,Northeast
256,"Albany, NY",NY,2014-07-01,545.0,201018.7161283385,Northeast
257,"Albany, NY",NY,2014-08-01,587.0,200532.88228312976,Northeast
258,"Albany, NY",NY,2014-09-01,513.0,200132.68811695665,Northeast
259,"Albany, NY",NY,2014-10-01,518.0,199566.3786279942,Northeast
260,"Albany, NY",NY,2014-11-01,391.0,199161.3600299995,Northeast
261,"Albany, NY",NY,2014-12-01,521.0,199074.42981259493,Northeast
262,"Albany, NY",NY,2015-01-01,327.0,199448.29437363628,Northeast
263,"Albany, NY",NY,2015-02-01,293.0,200025.31669855604,Northeast
264,"Albany, NY",NY,2015-03-01,389.0,200536.678287378,Northeast
265,"Albany, NY",NY,2015-04-01,413.0,200992.03443183436,Northeast
266,"Albany, NY",NY,2015-05-01,501.0,201442.20365881597,Northeast
267,"Albany, NY",NY,2015-06-01,622.0,201768.81303977987,Northeast
268,"Albany, NY",NY,2015-07-01,700.0,202251.3763623454,Northeast
269,"Albany, NY",NY,2015-08-01,710.0,202808.70226976735,Northeast
270,"Albany, NY",NY,2015-09-01,629.0,203445.89983813892,Northeast
271,"Albany, NY",NY,2015-10-01,588.0,203810.78967478985,Northeast
272,"Albany, NY",NY,2015-11-01,483.0,203995.59834252036,Northeast
273,"Albany, NY",NY,2015-12-01,542.0,204332.43248657053,Northeast
274,"Albany, NY",NY,2016-01-01,427.0,204972.0031824484,Northeast
275,"Albany, NY",NY,2016-02-01,352.0,205741.6252825021,Northeast
276,"Albany, NY",NY,2016-03-01,467.0,206148.14805550303,Northeast
277,"Albany, NY",NY,2016-04-01,538.0,206546.5543964416,Northeast
278,"Albany, NY",NY,2016-05-01,569.0,206839.16463547325,Northeast
279,"Albany, NY",NY,2016-06-01,779.0,207360.12554953367,Northeast
280,"Albany, NY",NY,2016-07-01,727.0,207702.47486008075,Northeast
281,"Albany, NY",NY,2016-08-01,743.0,208136.43603633347,Northeast
282,"Albany, NY",NY,2016-09-01,677.0,208552.48208181004,Northeast
283,"Albany, NY",NY,2016-10-01,614.0,209077.0340687956,Northeast
284,"Albany, NY",NY,2016-11-01,598.0,209740.7367158741,Northeast
285,"Albany, NY",NY,2016-12-01,581.0,210420.3343419421,Northeast
286,"Albany, NY",NY,2017-01-01,437.0,210973.90415970804,Northeast
287,"Albany, NY",NY,2017-02-01,354.0,211307.55536881465,Northeast
288,"Albany, NY",NY,2017-03-01,493.0,211610.43237729056,Northeast
289,"Albany, NY",NY,2017-04-01,477.0,212356.4556698395,Northeast
290,"Albany, NY",NY,2017-05-01,622.0,213362.26399801264,Northeast
291,"Albany, NY",NY,2017-06-01,823.0,214597.71913919292,Northeast
292,"Albany, NY",NY,2017-07-01,665.0,215620.8773729828,Northeast
293,"Albany, NY",NY,2017-08-01,770.0,216485.88808935508,Northeast
294,"Albany, NY",NY,2017-09-01,640.0,217300.33443590172,Northeast
295,"Albany, NY",NY,2017-10-01,643.0,218198.20173920423,Northeast
296,"Albany, NY",NY,2017-11-01,596.0,219176.92913002544,Northeast
297,"Albany, NY",NY,2017-12-01,627.0,220061.3837531952,Northeast
298,"Albany, NY",NY,2018-01-01,463.0,221155.08116226192,Northeast
299,"Albany, NY",NY,2018-02-01,353.0,221925.25314883664,Northeast
300,"Albany, NY",NY,2018-03-01,549.0,222922.2149253966,Northeast
301,"Albany, NY",NY,2018-04-01,563.0,223707.68017328283,Northeast
302,"Albany, NY",NY,2018-05-01,660.0,224818.97868832,Northeast
303,"Albany, NY",NY,2018-06-01,758.0,225856.29952002232,Northeast
304,"Albany, NY",NY,2018-07-01,659.0,227142.99440183848,Northeast
305,"Albany, NY",NY,2018-08-01,771.0,228328.8927076509,Northeast
306,"Albany, NY",NY,2018-09-01,672.0,229317.97320854047,Northeast
307,"Albany, NY",NY,2018-10-01,620.0,229656.952453796,Northeast
308,"Albany, NY",NY,2018-11-01,586.0,229893.5357927704,Northeast
309,"Albany, NY",NY,2018-12-01,462.0,230000.9152301035,Northeast
310,"Albany, NY",NY,2019-01-01,398.0,230508.2476814414,Northeast
311,"Albany, NY",NY,2019-02-01,331.0,231276.14187145152,Northeast
312,"Albany, NY",NY,2019-03-01,392.0,232406.07916064665,Northeast
313,"Albany, NY",NY,2019-04-01,446.0,233371.62163736063,Northeast
314,"Albany, NY",NY,2019-05-01,517.0,234009.05146877372,Northeast
315,"Albany, NY",NY,2019-06-01,543.0,234737.5829917833,Northeast
316,"Albany, NY",NY,2019-07-01,621.0,235493.9499521272,Northeast
317,"Albany, NY",NY,2019-08-01,666.0,236317.31629866036,Northeast
318,"Albany, NY",NY,2019-09-01,547.0,236873.0550742776,Northeast
319,"Albany, NY",NY,2019-10-01,566.0,237528.03064600937,Northeast
320,"Albany, NY",NY,2019-11-01,496.0,238552.7821660162,Northeast
321,"Albany, NY",NY,2019-12-01,475.0,239598.696360242,Northeast
322,"Albany, NY",NY,2020-01-01,403.0,240707.51253340204,Northeast
323,"Albany, NY",NY,2020-02-01,325.0,241639.06841920968,Northeast
324,"Albany, NY",NY,2020-03-01,351.0,242520.35790564097,Northeast
325,"Albany, NY",NY,2020-04-01,352.0,243333.71506023663,Northeast
326,"Albany, NY",NY,2020-05-01,378.0,243906.0466775139,Northeast
327,"Albany, NY",NY,2020-06-01,372.0,244766.03538960984,Northeast
328,"Albany, NY",NY,2020-07-01,594.0,245867.5559743712,Northeast
329,"Albany, NY",NY,2020-08-01,613.0,247456.2534227776,Northeast
330,"Albany, NY",NY,2020-09-01,653.0,249680.75584903584,Northeast
331,"Albany, NY",NY,2020-10-01,646.0,252227.97349262144,Northeast
332,"Albany, NY",NY,2020-11-01,652.0,255145.1205407636,Northeast
333,"Albany, NY",NY,2020-12-01,675.0,257939.77555933536,Northeast
334,"Albany, NY",NY,2021-01-01,478.0,260542.893635898,Northeast
335,"Albany, NY",NY,2021-02-01,425.0,263244.99542334845,Northeast
336,"Albany, NY",NY,2021-03-01,537.0,266110.67916446365,Northeast
337,"Albany, NY",NY,2021-04-01,534.0,269004.49494446936,Northeast
338,"Albany, NY",NY,2021-05-01,573.0,271864.71456669294,Northeast
339,"Albany, NY",NY,2021-06-01,743.0,274377.8028004811,Northeast
340,"Albany, NY",NY,2021-07-01,850.0,276407.2080266212,Northeast
341,"Albany, NY",NY,2021-08-01,807.0,277541.60978039686,Northeast
342,"Albany, NY",NY,2021-09-01,622.0,277983.6343576423,Northeast
343,"Albany, NY",NY,2021-10-01,535.0,278486.06223315466,Northeast
344,"Albany, NY",NY,2021-11-01,430.0,279628.4424686322,Northeast
345,"Albany, NY",NY,2021-12-01,531.0,280809.7326713982,Northeast
346,"Albany, NY",NY,2022-01-01,436.0,282739.5265669587,Northeast
347,"Albany, NY",NY,2022-02-01,290.0,285006.7580403338,Northeast
348,"Albany, NY",NY,2022-03-01,330.0,288203.70386334363,Northeast
349,"Albany, NY",NY,2022-04-01,339.0,291639.1895284611,Northeast
350,"Albany, NY",NY,2022-05-01,355.0,294916.3071903682,Northeast
351,"Albany, NY",NY,2022-06-01,363.0,298057.3288700868,Northeast
352,"Albany, NY",NY,2022-07-01,384.0,300068.62262408,Northeast
353,"Albany, NY",NY,2022-08-01,460.0,301194.30488205573,Northeast
354,"Albany, NY",NY,2022-09-01,382.0,301086.2697689876,Northeast
355,"Albany, NY",NY,2022-10-01,400.0,300999.1756442817,Northeast
356,"Albany, NY",NY,2022-11-01,388.0,300838.26102977915,Northeast
357,"Albany, NY",NY,2022-12-01,345.0,300781.3200094352,Northeast
358,"Albuquerque, NM",NM,2008-02-01,554.0,198971.3194657527,West
359,"Albuquerque, NM",NM,2008-03-01,656.0,198441.05404136947,West
360,"Albuquerque, NM",NM,2008-04-01,703.0,197682.4585303845,West
361,"Albuquerque, NM",NM,2008-05-01,721.0,196843.0256588805,West
362,"Albuquerque, NM",NM,2008-06-01,787.0,195789.64480640125,West
363,"Albuquerque, NM",NM,2008-07-01,723.0,194668.0840307409,West
364,"Albuquerque, NM",NM,2008-08-01,632.0,193394.2915778757,West
365,"Albuquerque, NM",NM,2008-09-01,609.0,192224.92628447016,West
366,"Albuquerque, NM",NM,2008-10-01,522.0,190893.92152965828,West
367,"Albuquerque, NM",NM,2008-11-01,412.0,189402.63486050256,West
